agency,ridership,time,source
AC Transit,140712,02/2026,https://public.tableau.com/app/profile/actransit.analytics/viz/RIDERSHIP_16748312580220/Contents
Caltrain,38574,02/2026,https://www.caltrain.com/about-caltrain/statistics-reports/ridership
County Connection,10100,2025,https://www.apta.com/wp-content/uploads/2026/03/2025-Q4-Ridership-APTA.pdf#page=11
BART,191099,02/2026,https://www.bart.gov/sites/default/files/2026-03/202602%20Monthly%20Ridership%20Snapshot.pdf
Golden Gate Ferry,4481,FY 2025,https://www.goldengate.org/ferry/history-research/statistics-ridership/
Golden Gate Transit,4714,FY 2025,https://www.goldengate.org/bus/history-research/statistics-ridership/
SF Muni,509560,02/2026,https://www.sfmta.com/reports/muni-ridership-average-weekday-ridership
SamTrans,34899,FY 2026 Q2,https://www.samtrans.com/media/36685/download#page=168
Tri Delta Transit,4500,2025,https://www.apta.com/wp-content/uploads/2026/03/2025-Q4-Ridership-APTA.pdf#page=11
VTA,99498,2025,https://data.vta.org/pages/ridership-by-stop
WETA,8358,01/2026,https://sanfranciscobayferry.com/january-2026-ferry-ridership/
Wheels,4800,2025,https://www.apta.com/wp-content/uploads/2026/03/2025-Q4-Ridership-APTA.pdf#page=12
