route_short_name,route_long_name,agency_name,route_color,route_text_color
1,Delores,Union City Transit,1DE065,FFFFFF
2,Whipple,Union City Transit,8F1FFF,FFFFFF
5,Dyer,Union City Transit,DD2C65,FFFFFF
3,Almaden,Union City Transit,24AAE1,FFFFFF
4,Tamarack,Union City Transit,F7931D,FFFFFF
Presidio GO Downtown,Presidio GO Downtown,Presidio Go,EA321B,FFFFFF
Hollis/Holi,Hollis Holiday,Emery Go-Round,F10909,
Hollis,Hollis,Emery Go-Round,F10909,
Shell/Pow Sun,Shellmound/Powell Sun,Emery Go-Round,AF55D8,
Shell/Pow Sat,Shellmound/Powell Sat,Emery Go-Round,A149D0,
Shell/Pow,Shellmound/Powell WD,Emery Go-Round,7A219E,
North,North Loop,San Leandro LINKS,1D4071,ffffff
South,South Loop,San Leandro LINKS,109246,ffffff
4,Central Dublin,Wheels,7B00D4,FFFFFF
580X,Airway,Wheels,0066B3,FFFFFF
20X,Vasco,Wheels,00A1E4,000000
70X,Pleasant Hill,Wheels,007A64,FFFFFF
1,Gleason/Hacienda,Wheels,BEB3D8,000000
2,East Dublin,Wheels,D9CA16,000000
8,Hopyard,Wheels,DC81A7,000000
14,Pleasanton - Livermore via Outlets,Wheels,B5343E,FFFFFF
30R,Dublin - Livermore via College,Wheels,00AB4E,FFFFFF
10R,Pleasanton - Livermore via Stanley,Wheels,EF4123,FFFFFF
3,Stoneridge,Wheels,397791,FFFFFF
7,Pleasant Hill BART/Shadelands,County Connection,46A076,ffffff
95X,San Ramon/BART Walnut Creek,County Connection,DE9734,000000
28,Concord BART/Amtrak,County Connection,006493,ffffff
601,Rossmoor/WCI,County Connection,7A99AC,ffffff
602,Walnut Blvd/WCI,County Connection,7A99AC,ffffff
606,Miramonte High/OIS/Orinda BART,County Connection,7A99AC,ffffff
611,Oak Grove Middle/Concord BART,County Connection,7A99AC,ffffff
612,Pine Hollow Middle/Concord BART,County Connection,7A99AC,ffffff
613,Oak Grove Middle/Concord BART,County Connection,7A99AC,ffffff
615,Concord High/El Dorado/Concord BART,County Connection,7A99AC,ffffff
616,Oak Grove Middle/Concord BART,County Connection,7A99AC,ffffff
619,Oak Grove Middle/Pleasant Hill BART,County Connection,7A99AC,ffffff
625,Acalanes High/Lafayette BART,County Connection,7A99AC,ffffff
626,Saint Mary's College/Lafayette BART,County Connection,7A99AC,ffffff
636,Broadmoor/Dublin/Pleasanton BART,County Connection,7A99AC,ffffff
16,Martinez Amtrak/Concord BART,County Connection,46A076,ffffff
315,Concord BART/Bel Air Dr,County Connection,9C629D,ffffff
21,Walnut Creek BART/San Ramon,County Connection,006493,ffffff
311,Concord BART/Walnut Creek BART,County Connection,46A076,ffffff
14,Concord BART/Walnut Creek BART,County Connection,46A076,ffffff
17,Concord BART/North Concord BART,County Connection,006493,ffffff
4,Walnut Creek BART/Broadway Plaza,County Connection,46A076,ffffff
