name,station
Bamboo Asia,Civic Center/UN Plaza
Thee Stork Club,19th St/Oakland
Sushinista,Downtown Berkeley
Happy Lamb Hot Pot,Union City
Chili's,Bay Fair
Peter's Cafe,Millbrae
Pasha,Powell St
Peacekeeper,Powell St
Izakaya Shodai,19th St/Oakland
Kamdesh Afghani Kabab House,12th St/Oakland City Center
The Cheesecake Factory,West Dublin/Pleasanton
P.F. Chang's,West Dublin/Pleasanton
Sandbar,19th St/Oakland
Au,19th St/Oakland
Cellarmaker Brewing Co.,Lake Merritt
Miller & Lux Provisions,Powell St
Eli's Mile High Club,MacArthur
Starbucks,Bay Fair
Le Paradis,Hayward
The Pizza House,Hayward
Neumanali,Hayward
Oeste,12th St/Oakland City Center
Le Petite Camille,Millbrae
Hong Kong Palace,Millbrae
Ipoh Garden,Millbrae
The Kitchen,Millbrae
Agenzen,Millbrae
Cable Car Coffee,Powell St
Modern China Cafe,Walnut Creek
Broderik Roadhouse,Walnut Creek
Montecatini,Walnut Creek
Vanessa's Bistro,Walnut Creek
Bourbon Highway,Walnut Creek
Dan's Irish Sports Bar,Walnut Creek
Skipolini's Pizza,Walnut Creek
Benvenuti Ristorante,Walnut Creek
Del Popolo,Powell St
Cafe Tiramisu,Montgomery St
The Crown,19th St/Oakland
La Mission,North Berkeley
Namaste Patio,Rockridge
Rintaro,16th St/Mission
54 Mint,Powell St
China Garden,Castro Valley
Zachary's Chicago Pizza,Rockridge
Red Lobster,San Bruno
Red Robin,San Bruno
Chuck E. Cheese,San Bruno
Mission Bowling Club,16th St/Mission
Al's Big Burger,El Cerrito Plaza
Outback Steakhouse,West Dublin/Pleasanton
Rigatoni's,West Dublin/Pleasanton
Shangrila Chinese Cuisine,West Dublin/Pleasanton
,San Leandro
Johnny's,San Leandro
Danny Murry's Irish Pub,San Leandro
Cafe Liano,San Leandro
707 Sutter,Powell St
Akari Japanese Bistro,Civic Center/UN Plaza
1601 Bar And Kitchen,16th St/Mission
Square Pie Guys,Civic Center/UN Plaza
Brenda's French Soul Food,Civic Center/UN Plaza
Aloha Club,Fruitvale
Señor Sisig,24th St/Mission
Liholiho Yacht Club,Powell St
Lers Ros Thai,Civic Center/UN Plaza
Teeth,16th St/Mission
Hi Lo BBQ,16th St/Mission
1015 Folsom,Civic Center/UN Plaza
500 Club,16th St/Mission
Ramenwell,16th St/Mission
Balompié Cafe,16th St/Mission
San Jalisco,24th St/Mission
Eureka!,Downtown Berkeley
The Fold,24th St/Mission
Los Moles Beer Garden,El Cerrito del Norte
Burdell,MacArthur
Boulevard Cafe,Daly City
Royal Ground Coffee,Downtown Berkeley
Penelope's Coffee and Tea,Downtown Berkeley
Top of the Hill Cafe,Daly City
Gee Yin,Daly City
Tikal,Balboa Park
Mezze and Mooore,16th St/Mission
Damask Rose Coffee,Ashby
Nomad Cafe,Ashby
Wayfare Tavern,Embarcadero
El Molino,Dublin/Pleasanton
Yeti Sports Bar and Restaurant,Ashby
Off the Hook Seafood & Super Burritos,19th St/Oakland
Delah Coffee,19th St/Oakland
Osha Thai Express,19th St/Oakland
Javi's Empanadas,19th St/Oakland
Da Lian,Downtown Berkeley
Cha Ya,Downtown Berkeley
Taste of the Himalayas,Downtown Berkeley
Azure Hotpot,Downtown Berkeley
Agrodolce,Downtown Berkeley
Party Sushi,Downtown Berkeley
Via del Corso,Downtown Berkeley
Cha Thai Tea,Downtown Berkeley
U : Dessert Story,Downtown Berkeley
Berkeley Espresso,Downtown Berkeley
The Noodle,Downtown Berkeley
