station,agency
12TH,AC Transit
16TH,SF Muni
19TH,AC Transit
24TH,SF Muni
ANTC,Tri Delta Transit
ASHB,AC Transit
BALB,SF Muni
BAYF,AC Transit
BERY,VTA
CAST,AC Transit
CIVC,SF Muni
COLM,SamTrans
COLS,AC Transit
CONC,County Connection
DALY,SamTrans
DBRK,AC Transit
DELN,AC Transit
DUBL,Wheels
EMBR,SF Muni
FRMT,AC Transit
FTVL,AC Transit
GLEN,SF Muni
HAYW,AC Transit
LAFY,County Connection
LAKE,AC Transit
MCAR,AC Transit
MLBR,SamTrans
MLPT,VTA
MONT,SF Muni
NBRK,AC Transit
NCON,County Connection
OAKL,AC Transit
ORIN,County Connection
PCTR,Tri Delta Transit
PHIL,County Connection
PITT,Tri Delta Transit
PLZA,AC Transit
POWL,SF Muni
RICH,AC Transit
ROCK,AC Transit
SANL,AC Transit
SBRN,SamTrans
SFIA,SamTrans
SHAY,AC Transit
SSAN,SamTrans
UCTY,AC Transit
WARM,AC Transit
WCRK,County Connection
WDUB,Wheels
WOAK,AC Transit
